x,y,z,range,velocity,angle,power_abs
0.218,0,0,0.218,0.35,0,0.006011963
0.327,0,0,0.327,0.35,0,0.006591797
0.303137113,0.122625,0,0.327,1.4,22.02431284,0.011169434
0.327,0,0,0.327,0,0,0.005752563
0.209200328,0.0613125,0,0.218,1.4,16.33482278,0.010131836
0.307073012,0.11240625,0,0.327,1.4,20.10550979,0.012771606
0.211077592,0.0545,0,0.218,1.75,14.47751219,0.01272583
0.307073012,0.11240625,0,0.327,1.75,20.10550979,0.014572144
0.218,0,0,0.218,0,0,0.004974365
0.218,0,0,0.218,0.35,0,0.007537842
0.327,0,0,0.327,0.35,0,0.007995605
0.209200328,0.0613125,0,0.218,1.4,16.33482278,0.011688232
0.313800492,0.09196875,0,0.327,1.4,16.33482278,0.013839722
0.211077592,0.0545,0,0.218,1.75,14.47751219,0.014923096
0.29404442,0.1430625,0,0.327,1.75,25.94447977,0.016143799
0.211077592,0.0545,0,0.218,2.1,14.47751219,0.013885498
0.288849197,0.15328125,0,0.327,2.1,27.95318688,0.014266968
0.212720244,0.0476875,0,0.218,2.45,12.63562509,0.01008606
0.218,0,0,0.218,0.35,0,0.008926392
0.327,0,0,0.327,0.35,0,0.009078979
0.212720244,0.0476875,0,0.218,1.4,12.63562509,0.013534546
0.298800164,0.13284375,0,0.327,1.4,23.96948232,0.015045166
0.212720244,0.0476875,0,0.218,1.75,12.63562509,0.01663208
0.303137113,0.122625,0,0.327,1.75,22.02431284,0.018356323
0.214133683,0.040875,0,0.218,2.1,10.80692287,0.015762329
0.298800164,0.13284375,0,0.327,2.1,23.96948232,0.016723633
0.212720244,0.0476875,0,0.218,2.45,12.63562509,0.011276245
0.29404442,0.1430625,0,0.327,2.45,25.94447977,0.011505127
0.214133683,0.040875,0,0.218,1.4,10.80692287,0.013366699
0.303137113,0.122625,0,0.327,1.4,22.02431284,0.014480591
0.212720244,0.0476875,0,0.218,1.75,12.63562509,0.017059326
0.307073012,0.11240625,0,0.327,1.75,20.10550979,0.018081665
0.211077592,0.0545,0,0.218,2.1,14.47751219,0.016769409
0.307073012,0.11240625,0,0.327,2.1,20.10550979,0.017181396
0.214133683,0.040875,0,0.218,2.45,10.80692287,0.012069702
0.298800164,0.13284375,0,0.327,2.45,23.96948232,0.012252808
0.212720244,0.0476875,0,0.218,1.4,12.63562509,0.011764526
0.298800164,0.13284375,0,0.327,1.4,23.96948232,0.012451172
0.215322424,0.0340625,0,0.218,1.75,8.989299345,0.01449585
0.307073012,0.11240625,0,0.327,1.75,20.10550979,0.015258789
0.212720244,0.0476875,0,0.218,2.1,12.63562509,0.014068604
0.298800164,0.13284375,0,0.327,2.1,23.96948232,0.014022827
0.211077592,0.0545,0,0.218,2.45,14.47751219,0.010055542
0.316616389,0.08175,0,0.327,2.45,14.47751219,0.010162354
0.218,0,0,0.218,0,0,0.007125854
0.327,0,0,0.327,0,0,0.006317139
0.214133683,0.040875,0,0.218,0,10.80692287,0.007827759
0.310623107,0.1021875,0,0.327,0,18.20995686,0.007827759
0.212720244,0.0476875,0,0.218,0.35,12.63562509,0.007003784
0.303137113,0.122625,0,0.327,1.4,22.02431284,0.010070801
0.310623107,0.1021875,0,0.327,1.75,18.20995686,0.01083374
0.212720244,0.0476875,0,0.218,2.1,12.63562509,0.009735107
0.313800492,0.09196875,0,0.327,2.1,16.33482278,0.010513306
0.214133683,0.040875,0,0.218,2.45,10.80692287,0.009078979
0.313800492,0.09196875,0,0.327,2.45,16.33482278,0.009552002
0.218,0,0,0.218,0,0,0.006607056
0.327,0,0,0.327,0,0,0.006713867
0.21629017,0.02725,0,0.218,0,7.180755781,0.007461548
0.313800492,0.09196875,0,0.327,0,16.33482278,0.006912231
0.313800492,0.09196875,0,0.327,66.15,16.33482278,0.00730896
0.310623107,0.1021875,0,0.327,66.5,18.20995686,0.006896973
0.212720244,0.0476875,0,0.218,2.1,12.63562509,0.008148193
0.29404442,0.1430625,0,0.327,2.1,25.94447977,0.008331299
0.214133683,0.040875,0,0.218,2.45,10.80692287,0.008071899
0.298800164,0.13284375,0,0.327,2.45,23.96948232,0.008300781
0.218,0,0,0.218,0,0,0.008590698
0.327,0,0,0.327,0,0,0.007125854
0.319080366,0.07153125,0,0.327,66.15,12.63562509,0.007614136
0.313800492,0.09196875,0,0.327,66.5,16.33482278,0.009384155
0.321200525,0.0613125,0,0.327,66.85,10.80692287,0.009475708
0.218,0,0,0.218,0,0,0.008056641
0.322983635,0.05109375,0,0.327,66.5,8.989299345,0.009384155
0.319080366,0.07153125,0,0.327,66.85,12.63562509,0.010528564
1.33E-17,0.218,0,0.218,0,90,0.012969971
0.319080366,0.07153125,0,0.327,0,12.63562509,0.010437012
0.21629017,0.02725,0,0.218,0.35,7.180755781,0.012207031
0.319080366,0.07153125,0,0.327,0.35,12.63562509,0.009506226
0.215322424,0.0340625,0,0.218,0.7,8.989299345,0.008865356
1.33E-17,0.218,0,0.218,66.85,90,0.011108398
0.316616389,0.08175,0,0.327,66.85,14.47751219,0.008789063
1.33E-17,0.218,0,0.218,0,90,0.01272583
0.321200525,0.0613125,0,0.327,0,10.80692287,0.009552002
0.21629017,0.02725,0,0.218,0.35,7.180755781,0.012313843
0.316616389,0.08175,0,0.327,0.35,14.47751219,0.008728027
0.21629017,0.02725,0,0.218,0.7,7.180755781,0.009368896
1.33E-17,0.218,0,0.218,0,90,0.010772705
0.316616389,0.08175,0,0.327,0,14.47751219,0.007003784
0.21629017,0.02725,0,0.218,0.35,7.180755781,0.010787964
0.218,0,0,0.218,0.35,0,0.005722046
1.33E-17,0.218,0,0.218,0.7,90,0.006820679
1.33E-17,0.218,0,0.218,1.05,90,0.008789063
2.00E-17,0.327,0,0.327,1.05,90,0.006790161
0.218,0,0,0.218,0.35,0,0.003753662
1.33E-17,0.218,0,0.218,0.35,90,0.006652832
1.33E-17,0.218,0,0.218,0.7,90,0.009033203
2.00E-17,0.327,0,0.327,0.7,90,0.006698608
1.33E-17,0.218,0,0.218,1.05,90,0.009552002
2.00E-17,0.327,0,0.327,1.05,90,0.007141113
1.33E-17,0.218,0,0.218,65.8,90,0.008209229
2.00E-17,0.327,0,0.327,65.8,90,0.00642395
1.33E-17,0.218,0,0.218,0.35,90,0.006378174
1.33E-17,0.218,0,0.218,0.7,90,0.008377075
1.33E-17,0.218,0,0.218,1.05,90,0.007888794
2.00E-17,0.327,0,0.327,1.05,90,0.005523682
1.33E-17,0.218,0,0.218,2.1,90,0.007293701
1.33E-17,0.218,0,0.218,2.45,90,0.006072998
1.33E-17,0.218,0,0.218,2.1,90,0.008163452
1.33E-17,0.218,0,0.218,2.45,90,0.006698608
1.33E-17,0.218,0,0.218,2.1,90,0.009475708
1.33E-17,0.218,0,0.218,2.45,90,0.007919312
0.218,0,0,0.218,0.35,0,0.005065918
1.33E-17,0.218,0,0.218,2.1,90,0.010848999
1.33E-17,0.218,0,0.218,2.45,90,0.00894165
1.33E-17,0.218,0,0.218,1.4,90,0.008255005
1.33E-17,0.218,0,0.218,1.75,90,0.011123657
1.33E-17,0.218,0,0.218,2.1,90,0.010879517
1.33E-17,0.218,0,0.218,2.45,90,0.008529663
1.33E-17,0.218,0,0.218,1.4,90,0.010879517
1.33E-17,0.218,0,0.218,1.75,90,0.01171875
1.33E-17,0.218,0,0.218,2.1,90,0.010009766
1.33E-17,0.218,0,0.218,1.05,90,0.010772705
1.33E-17,0.218,0,0.218,1.4,90,0.01159668
1.33E-17,0.218,0,0.218,1.75,90,0.010269165
1.33E-17,0.218,0,0.218,2.1,90,0.007827759
0.327,0,0,0.327,0,0,0.00428772
1.33E-17,0.218,0,0.218,0.7,90,0.00881958
1.33E-17,0.218,0,0.218,1.05,90,0.010406494
1.33E-17,0.218,0,0.218,1.4,90,0.010070801
1.33E-17,0.218,0,0.218,1.05,90,0.008087158
1.33E-17,0.218,0,0.218,1.4,90,0.008026123
1.33E-17,0.218,0,0.218,1.4,90,0.008407593
0.324435255,0.040875,0,0.327,1.4,7.180755781,0.006500244
1.33E-17,0.218,0,0.218,1.75,90,0.008804321
0.316616389,0.08175,0,0.327,1.75,14.47751219,0.006088257
1.33E-17,0.218,0,0.218,2.1,90,0.006759644
0.218,0,0,0.218,0,0,0.00920105
0.218,0,0,0.218,0.35,0,0.010070801
0.327,0,0,0.327,0.35,0,0.006774902
1.33E-17,0.218,0,0.218,1.05,90,0.010498047
1.33E-17,0.218,0,0.218,1.4,90,0.011505127
0.324435255,0.040875,0,0.327,1.4,7.180755781,0.008026123
1.33E-17,0.218,0,0.218,1.75,90,0.010498047
2.00E-17,0.327,0,0.327,1.75,90,0.007522583
1.33E-17,0.218,0,0.218,2.1,90,0.007507324
0.218,0,0,0.218,0,0,0.012176514
0.327,0,0,0.327,0,0,0.007461548
1.33E-17,0.218,0,0.218,0,90,0.009399414
1.33E-17,0.218,0,0.218,0.35,90,0.012329102
1.33E-17,0.218,0,0.218,0.7,90,0.014083862
2.00E-17,0.327,0,0.327,0.7,90,0.008544922
1.33E-17,0.218,0,0.218,1.05,90,0.013626099
2.00E-17,0.327,0,0.327,1.05,90,0.009140015
1.33E-17,0.218,0,0.218,1.4,90,0.01121521
2.00E-17,0.327,0,0.327,1.4,90,0.008178711
1.33E-17,0.218,0,0.218,1.75,90,0.008087158
0.218,0,0,0.218,0,0,0.010253906
0.327,0,0,0.327,0,0,0.005889893
0.215322424,0.0340625,0,0.218,0,8.989299345,0.013092041
0.316616389,0.08175,0,0.327,0,14.47751219,0.007949829
1.33E-17,0.218,0,0.218,0.35,90,0.017105103
0.313800492,0.09196875,0,0.327,0.35,16.33482278,0.010070801
1.33E-17,0.218,0,0.218,0.7,90,0.018615723
0.322983635,0.05109375,0,0.327,0.7,8.989299345,0.011520386
1.33E-17,0.218,0,0.218,1.05,90,0.015884399
0.324435255,0.040875,0,0.327,1.05,7.180755781,0.010177612
1.33E-17,0.218,0,0.218,1.4,90,0.008560181
2.00E-17,0.327,0,0.327,1.4,90,0.006469727
0.21629017,0.02725,0,0.218,2.45,7.180755781,0.007415771
0.218,0,0,0.218,0,0,0.010421753
0.218,0,0,0.218,0.35,0,0.010482788
0.215322424,0.0340625,0,0.218,0,8.989299345,0.014923096
0.316616389,0.08175,0,0.327,0,14.47751219,0.00894165
0.21629017,0.02725,0,0.218,0.35,7.180755781,0.020370483
0.321200525,0.0613125,0,0.327,0.35,10.80692287,0.012252808
1.33E-17,0.218,0,0.218,0.7,90,0.020706177
0.324435255,0.040875,0,0.327,0.7,7.180755781,0.012573242
1.33E-17,0.218,0,0.218,1.05,90,0.016143799
0.324435255,0.040875,0,0.327,1.05,7.180755781,0.010025024
1.33E-17,0.218,0,0.218,1.4,90,0.009002686
0.218,0,0,0.218,0,0,0.011611938
0.327,0,0,0.327,0,0,0.007263184
0.214133683,0.040875,0,0.218,0,10.80692287,0.01651001
0.321200525,0.0613125,0,0.327,0,10.80692287,0.01020813
0.21629017,0.02725,0,0.218,0.35,7.180755781,0.021377563
0.313800492,0.09196875,0,0.327,0.35,16.33482278,0.012939453
0.21629017,0.02725,0,0.218,0.7,7.180755781,0.019683838
0.322983635,0.05109375,0,0.327,0.7,8.989299345,0.011962891
1.33E-17,0.218,0,0.218,1.05,90,0.014633179
0.322983635,0.05109375,0,0.327,1.05,8.989299345,0.008270264
1.33E-17,0.218,0,0.218,1.4,90,0.009719849
0.218,0,0,0.218,0,0,0.012664795
